case_label,intensity_w_cm2,harmonic_order,nearest_harmonic_order,mean_intensity,normalized_intensity,display_intensity,display_scale,display_floor,mean_cutoff_order,cutoff_order_p95,cutoff_order_p99,spectrum_model,frequency_grid,driver_sampling,normalization_scope,claim_level,mechanism,processing
BSV - 1e13 W/cm^2,10000000000000.0,0.9199776428715466,1.0,0.00012053689453297912,3.653762361074058e-05,3.653762361074058,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.9599766708224835,1.0,1.2792803298822006,0.3877805494073952,38778.05494073952,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.9999756987734202,1.0,4.651865827842435,1.4100920997169828,141009.2099716983,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.039974726724357,1.0,1.3479489337968706,0.4085956501566747,40859.56501566747,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.0799737546752939,1.0,0.00036408684733092657,0.00011036345544607402,11.036345544607402,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.119972782626231,1.0,0.0005171175538646486,0.0001567507327845077,15.675073278450771,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.1599718105771675,1.0,0.0016534848743192199,0.0005012109215025351,50.12109215025351,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.1999708385281043,1.0,0.0007188944045615739,0.00021791413551434772,21.791413551434772,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.239969866479041,1.0,1.9538847049004897e-07,5.9226931474416324e-08,0.01,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.2799688944299779,1.0,0.00018226286472778784,5.524824557195804e-05,5.524824557195804,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.3199679223809149,1.0,5.0932354522860924e-05,1.5438818184053467e-05,1.5438818184053467,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.3599669503318517,1.0,3.2159807116725154e-05,9.748408836793335e-06,0.9748408836793335,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.3999659782827885,1.0,7.878640024781119e-05,2.388204747644361e-05,2.388204747644361,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.4399650062337253,1.0,1.4235759056651699e-06,4.315199991176309e-07,0.04315199991176309,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.4799640341846618,1.0,3.627094813985051e-05,1.0994594279811623e-05,1.0994594279811623,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.5199630621355988,1.0,1.8783720937659434e-05,5.693796312643604e-06,0.5693796312643604,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
