case_label,intensity_w_cm2,mean_peak_field_amplitude_au,harmonic_order,mean_intensity,std_intensity,normalized_intensity,display_intensity,mean_cutoff_order,cutoff_order_p95,cutoff_order_p99,intensity_g2,spectrum_model,frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,driver_sampling,normalization_scope,claim_level,mechanism
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.8799786149206099,0.0008927767999273034,0.001577952667063035,0.0002706220598309871,27.06220598309871,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.9199776428715466,0.00012053689453297912,0.00039205259025667247,3.653762361074058e-05,3.653762361074058,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.9599766708224835,1.2792803298822006,1.9638423181550515,0.3877805494073952,38778.05494073952,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.9999756987734202,4.651865827842435,7.035537492763822,1.4100920997169828,141009.2099716983,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.039974726724357,1.3479489337968706,2.0653745102006456,0.4085956501566747,40859.56501566747,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.0799737546752939,0.00036408684733092657,0.0013453191146359654,0.00011036345544607402,11.036345544607402,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.119972782626231,0.0005171175538646486,0.0009662098164903379,0.0001567507327845077,15.675073278450771,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.1599718105771675,0.0016534848743192199,0.0027254790565021322,0.0005012109215025351,50.12109215025351,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.1999708385281043,0.0007188944045615739,0.0012306055887738665,0.00021791413551434772,21.791413551434772,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.239969866479041,1.9538847049004897e-07,7.456682834383614e-06,5.9226931474416324e-08,0.01,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.2799688944299779,0.00018226286472778784,0.00036001829394772335,5.524824557195804e-05,5.524824557195804,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.3199679223809149,5.0932354522860924e-05,9.046623087721528e-05,1.5438818184053467e-05,1.5438818184053467,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.3599669503318517,3.2159807116725154e-05,5.166751942472859e-05,9.748408836793335e-06,0.9748408836793335,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.3999659782827885,7.878640024781119e-05,0.00012233661602105336,2.388204747644361e-05,2.388204747644361,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.4399650062337253,1.4235759056651699e-06,1.9851398386425496e-06,4.315199991176309e-07,0.04315199991176309,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.4799640341846618,3.627094813985051e-05,5.827544578732565e-05,1.0994594279811623e-05,1.0994594279811623,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.5199630621355988,1.8783720937659434e-05,2.9352037469278534e-05,5.693796312643604e-06,0.5693796312643604,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.5599620900865356,6.235670816804124e-06,1.1016919761971747e-05,1.8901813768109967e-06,0.18901813768109968,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.5999611180374724,2.6601472134384348e-05,4.2463746399239795e-05,8.063544196186426e-06,0.8063544196186426,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.6399601459884094,9.869182121611692e-07,1.7690826675071684e-06,2.99158579704937e-07,0.0299158579704937,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.679959173939346,1.4344640009333211e-05,2.3011597817272536e-05,4.348204419263408e-06,0.4348204419263408,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.719958201890283,9.30654371815507e-06,1.4084726058024336e-05,2.821036603011345e-06,0.2821036603011345,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.7599572298412198,2.3883400331113488e-06,3.917630819582867e-06,7.239631444164217e-07,0.07239631444164217,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.7999562577921564,1.3265911444423491e-05,2.0843384956247272e-05,4.021215919721121e-06,0.4021215919721121,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.8399552857430932,6.581234366736653e-07,1.1419401648934697e-06,1.9949299765650044e-07,0.019949299765650044,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.87995431369403,7.653219120790058e-06,1.21275527802383e-05,2.319874265297607e-06,0.23198742652976068,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.919953341644967,5.549111392493063e-06,8.281180316816475e-06,1.6820687493115307e-06,0.16820687493115308,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.9599523695959038,1.2532121491304944e-06,2.18037752474479e-06,3.7987865861940913e-07,0.03798786586194091,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.9999513975468404,7.97921082527843e-06,1.1965412679564076e-05,2.4186901692991907e-06,0.24186901692991908,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,2.0399504254977776,4.607950135887823e-07,7.363107449174399e-07,1.396780200240397e-07,0.01396780200240397,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,2.079949453448714,4.790005871015032e-06,7.430298857134071e-06,1.451965659862759e-06,0.1451965659862759,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
