case_label,intensity_w_cm2,mean_peak_field_amplitude_au,harmonic_order,mean_intensity,std_intensity,normalized_intensity,display_intensity,mean_cutoff_order,cutoff_order_p95,cutoff_order_p99,raw_intensity_g2,effective_intensity_g2,tail_capped_sample_fraction,bsv_tail_quantile,spectrum_model,frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,driver_sampling,normalization_scope,claim_level,mechanism
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.839979586969673,0.0006335663683054678,0.0009496445788227401,0.00023213000403888187,23.213000403888188,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.8799786149206099,0.0008853659488088655,0.0013302157464858129,0.0003243859073873709,32.43859073873709,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.9199776428715466,0.00011811703376689483,0.00017029970063492514,4.327645673286508e-05,4.327645673286508,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.9599766708224835,1.2733633403734932,1.847558792536218,0.4665428156081499,46654.28156081499,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.9999756987734202,4.633033671686294,6.713743092468179,1.697479820144572,169747.9820144572,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.039974726724357,1.3417764354094097,1.9469662611327478,0.49160843275805355,49160.84327580535,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.0799737546752939,0.00035449872879488123,0.0005269613363138701,0.0001298834588821783,12.98834588821783,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.119972782626231,0.0005123225565450796,0.0007833443006251381,0.00018770793885113687,18.770793885113687,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.1599718105771675,0.0016428469674355014,0.002466264090658013,0.0006019165351311729,60.19165351311729,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,1.1999708385281043,0.0007131932200578919,0.0010519412428097233,0.0002613041874292191,26.130418742921908,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
