driver_state,harmonic_order,mean_intensity,raw_peak_intensity,local_background_intensity,normalized_intensity,display_intensity,display_offset,window_half_width,background_inner_width,background_outer_width,display_min_normalized,mean_cutoff_order,normalized_intensity_cv,spectrum_model,frequency_grid,raw_frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,claim_level,mechanism,processing
coherent,45.0,1.0820172819707527e-09,1.159175251978085e-09,7.715797000733234e-11,1.786822586017321e-11,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,47.0,8.040845850122886e-10,8.659861395784772e-10,6.190155456618855e-11,1.3278498610959877e-11,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,49.0,8.433819777226787e-10,8.938405003728814e-10,5.045852265020275e-11,1.3927448216816681e-11,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,51.0,7.782594369852901e-10,8.163158905826892e-10,3.805645359739914e-11,1.2852027069786016e-11,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,53.0,5.557738226273415e-10,5.849875481715682e-10,2.921372554422672e-11,9.177942307714096e-12,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,55.0,3.41026740074911e-10,3.6415853116474664e-10,2.3131791089835623e-11,5.6316501756039455e-12,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,57.0,1.8661203820657372e-10,2.0536609626000138e-10,1.8754058053427654e-11,3.08167540617199e-12,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,59.0,9.170383340540248e-11,1.0669380112392105e-10,1.498996771851857e-11,1.5143795157753498e-12,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,61.0,4.5016560989274823e-11,5.7078055644462264e-11,1.206149465518744e-11,7.433948538599841e-13,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,63.0,2.400346277324503e-11,3.3870953395565074e-11,9.867490622320043e-12,3.963885802982906e-13,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,65.0,1.9535719518732887e-11,2.7698450865830196e-11,8.162731347097311e-12,3.226091251203777e-13,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,67.0,1.2539361715936099e-11,1.9312847637188875e-11,6.773485921252777e-12,2.0707261428825461e-13,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,69.0,5.629909137814965e-12,1.1245119176330031e-11,5.6152100385150664e-12,9.297123966773201e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,71.0,3.235963829260685e-12,7.92334884745803e-12,4.687385018197345e-12,5.343808600844864e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,73.0,2.8647093315029093e-12,6.808758927640476e-12,3.944049596137567e-12,4.7307260440248116e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,75.0,2.5203267489426727e-12,5.854404607343897e-12,3.334077858401224e-12,4.1620192525502576e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,77.0,2.072485901472216e-12,4.901639954611822e-12,2.8291540531396063e-12,3.422463466764777e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
